date,state,county_identifier,facility_name,jail_id,est_pop_2019,primary_fips,bjs_juris_id,missing_date_ind,total_inmates,new_admissions,new_admissions_smooth,releases,releases_smooth,felony_releases,misd_releases,non_felony_or_misd_releases,releases_has_charge_class,felony_admissions,misd_admissions,non_felony_or_misd_admissions,admissions_has_charge_class,felony_recid_30,felony_recid_60,felony_recid_90,felony_recid_120,felony_recid_150,felony_recid_180,felony_recid_210,misd_recid_30,misd_recid_60,misd_recid_90,misd_recid_120,misd_recid_150,misd_recid_180,misd_recid_210,recid_30,recid_60,recid_90,recid_120,recid_150,recid_180,recid_210,num_felony,num_misd,num_non_felony_or_misd
1/1/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,96,3,3,1,1,0,1,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,56,28,12
1/2/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,98,3,3,3,3,1,2,0,3,1,2,0,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,29,12
1/3/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,103,8,8,3,3,0,3,0,3,2,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,29,16
1/4/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,112,12,12,3,3,1,2,0,3,1,8,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,34,19
1/5/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,112,3,3,6,6,1,2,3,6,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,58,34,20
1/6/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,108,2,2,10,10,1,5,4,10,0,2,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,3,57,34,17
1/7/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,104,6,6,6,6,3,3,0,6,0,5,1,6,0,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,3,3,3,56,34,14
1/8/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,107,9,9,4,4,0,3,1,4,4,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,57,33,17
1/9/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,111,8,8,12,12,3,6,3,12,2,3,3,8,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,2,2,3,59,33,19
1/10/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,107,8,8,9,9,1,3,5,9,1,4,3,8,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,1,2,2,2,2,3,57,31,19
1/11/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,104,6,6,2,2,0,2,0,2,0,2,4,6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,30,18
1/12/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,107,5,5,4,4,0,2,2,4,0,5,0,5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,56,33,18
1/13/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,106,3,3,11,11,4,3,4,11,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,2,2,2,57,33,16
1/14/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,101,6,6,7,7,0,5,2,7,2,3,1,6,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,1,1,1,2,2,55,33,13
1/15/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,104,10,10,8,8,3,4,1,8,1,5,4,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,56,33,15
1/16/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,97,1,1,5,5,2,2,1,5,0,1,0,1,0,1,1,1,1,2,2,0,2,2,2,2,2,2,1,4,4,4,4,5,5,53,30,14
1/17/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,93,1,1,3,3,0,2,1,3,0,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,51,28,14
